0;iPhone 7 Plus Apple iOS 11, Dupla Câmera Traseira, Resistente à Água, Wi-Fi, 4G LTE e NFC, 32GB, Ouro Rosa, Tela HD de 5,5";1
1;iPhone 6s Apple com 3D Touch, iOS 11, Sensor Touch ID, Câmera iSight 12MP, Wi-Fi, 4G, GPS, Bluetooth e NFC, 32GB, Prateado, Tela 4,7";1
2;iPhone 6s Apple com 3D Touch, iOS 11, Sensor Touch ID, Câmera iSight 12MP, Wi-Fi, 4G, GPS, Bluetooth e NFC, 32GB, Rose, Tela 4,7";1
3;Smartphone LG K12+ Azul 32GB, Tela 5.7", Dual Chip, Câmera Traseira 16MP, Android 8.1, Processador Octa Core e 3GB RAM;1
4;Smartphone Samsung Galaxy J1 Mini Duos Preto com Dual Chip, Tela 4.0", 3G, Câmera de 5MP, Android 5.1 e Processador Quad Core de 1.2 GHz;1
5;Smartphone Samsung Galaxy J1 Mini Duos Dourado com Dual Chip, Tela 4.0", 3G, Câmera de 5MP, Android 5.1 e Processador Quad Core de 1.2 GHz;1
6;Smartphone Motorola Moto G7 Play Índigo XT1952 32GB, Tela de 5,7", 2GB de RAM, Dual Chip, Android 9.0, Câmera 13MP e Processador Octa-Core;1
7;Smartphone Motorola Moto G5 XT1672 Ouro com 32GB, Tela de 5'', Dual Chip, Android 7.0, 4G, Câmera 13MP, Processador Octa-Core e 2GB de RAM;1
8;Smartphone Samsung Galaxy J6+ Preto 32GB, Tela infinita de 6", Dupla Câmera Traseira, Câmera Frontal de 8MP, 3GB RAM, Dual Chip, Android 8.1;1
9;Xiaomi REDMI Note 7 64GB TELA 6.3" Versão Global - Preto;1
10;Smartphone Xiaomi Redmi Note 7 64GB Versão Global Desbloqueado - Preto;1
11;SmartPhone Multilaser 8G 5MP ANDROID 8.1 (VERSAO GO) Ms40g Branco - Nb729;1
12;Smartphone Asus ZenFone Max Shot ZB634KL Preto 64GB, Tela 6.2", Dual Chip, Câmera Traseira Tripla, Android 8.1, Processador Octa Core e 4GB RAM;1
13;Smartphone Asus Zenfone Max Pro Preto 32GB, Tela 6.0", 3GB RAM, Câmera Traseira Dupla, Bateria 5000mAh, Processador Octa Core, Android 8.0 e Dual Chip;1
14;Smartphone Asus ZenFone Max Plus Gold 32GB Tela 5.7” Dual Chip Android 7.1 Câmera Traseira Dupla 3GB RAM Processador Octa-Core;1
15;Smartphone Nokia 5 dual chip Android 7.1 Tela 5.2 16GB 4G Camera 13MP - Preto;1
16;Smartphone Nokia 5 dual chip Android 7.1 Tela 5.2 16GB 4G Camera 13MP - Azul;1
17;Smartphone Nokia Lumia 520 Desbloqueado, Windows Phone 8, Memoria Interna 8Gb, Camera 5Mp, Tela 4`` - Preto;1
18;Smartphone Samsung Galaxy M10 32GB Dual Chip Android 8.1 Tela 6,2" Octa-Core 4G Câmera 13+5MP - Azul;1
19;Smartphone Samsung Galaxy S9 Dual Chip Android 8.0 Tela 5.8" Octa-Core 2.8GHz 128GB 4G Câmera 12MP - Preto;1
20;Smartphone Motorola Moto G6 Play 16GB de 5.7" 13MP - Azul;1
21;Smart TV LED 43" Full HD LG 43LK5750PSA com IPS, Inteligência Artificial ThinQ AI, WI-FI, Processador Quad Core, HDR 10 Pro, HDMI e USB;0
22;Fogão Esmaltec 4 Bocas Veneza Super com Acendimento Automático – Branco;0
23;Fraldas Pampers Confort Sec G - 60 Unidades;0
24;Pneu Goodyear Eagle Sport 205/55 R16 91V;0
25;Refrigerador Electrolux Duplex DC35A 260L - Branco;0
26;Smart TV LED 32" HD LG 32LK615BPSB com WebOS 4.0 Wi-Fi, Processador Quad Core, HDR 10 Pro, HDMI e USB;0
27;Lavadora Samsung WW11K EcoBubble 11Kg Branca 110V WW11K6800AW/AZ - 110V;0
28;Refrigerador Electrolux DFN41 Frost Free com Painel de Controle Externo 371L - Branco;0
29;Mesa de Jantar com 4 Cadeiras Madesa Georgia 90;0
30;Cozinha Ditália Paloma com 9 Portas e 3 Gavetas - Branca/Grafite;0
31;Cozinha Bartira Safira Plus com 11 Portas e 2 Gavetas + Tábua de Passar;0
32;Batedeira Planetária Arno Daily SX88 com 8 Velocidades - Branca;0
33;Liquidificador Mondial Power NL-26 Branco/Cinza - 500W;0
34;Extrator de Frutas Mondial Profissional E-10 Bivolt - 250W;0
35;Cama Box Casal + Colchão Umaflex Itália com Pillow Top e Molas Ensacadas 69x138x188 cm – Branco;0
36;Tablet Samsung Galaxy Tab E 9.6 Wi-Fi SM-T560 com Tela 9.6”, 8GB, Câmera 5MP, GPS, Android 4.4, Processador Quad Core 1.3 Ghz - Branco;0
37;Tablet Samsung Galaxy Tab E 9.6 Wi-Fi SM-T560 com Tela 9.6”, 8GB, Câmera 5MP, GPS, Android 4.4, Processador Quad Core 1.3 Ghz – Preto;0
38;Tablet Philco Android 7.1 Tela 7 polegadas 8GB PTB7SG - Bivolt;0
39;Apple iPad Pro A1980 MTXR2LZ/A 256GB de 11" 12MP/7MP Ios;0
40;Tablet Multilaser ML Supra Rosa com Tela Capacitiva 7”, Memória 8GB, Wi-Fi, Android 4.4 Kit Kat, Dual Câmera e Processador Quad Core;0
